,valor
1972-06-01,102.775627826348
1972-07-01,102.932249480614
1972-08-01,103.131277464752
1972-09-01,103.351355362876
1972-10-01,103.55744268368
1972-11-01,103.722022275489
1972-12-01,103.809251039083
1973-01-01,103.794906662075
1973-02-01,103.668618726795
1973-03-01,103.427715263661
1973-04-01,103.090195525624
1973-05-01,102.694627852569
1973-06-01,102.288837359118
1973-07-01,101.911318755105
1973-08-01,101.584980508177
1973-09-01,101.324750278353
1973-10-01,101.113891938044
1973-11-01,100.90638712327
1973-12-01,100.684839942973
1974-01-01,100.459237848535
1974-02-01,100.203233929666
1974-03-01,99.8959200456811
1974-04-01,99.5201490577547
1974-05-01,99.0831362368974
1974-06-01,98.597258502508
1974-07-01,98.0757897167957
1974-08-01,97.5219330055196
1974-09-01,96.9470784347785
1974-10-01,96.4060082947009
1974-11-01,95.9476657114332
1974-12-01,95.6398986280796
1975-01-01,95.543795540604
1975-02-01,95.649185616234
1975-03-01,95.9240063988745
1975-04-01,96.3338457058965
1975-05-01,96.8142892153286
1975-06-01,97.3195609492407
1975-07-01,97.8187629342459
1975-08-01,98.286479507991
1975-09-01,98.7206113031301
1975-10-01,99.1328320934653
1975-11-01,99.5362590004454
1975-12-01,99.9387460821937
1976-01-01,100.324260299533
1976-02-01,100.649714436853
1976-03-01,100.881795077633
1976-04-01,101.021162083767
1976-05-01,101.080419737417
1976-06-01,101.087874446693
1976-07-01,101.067936509741
1976-08-01,101.037508113079
1976-09-01,101.025508392756
1976-10-01,101.055637673227
1976-11-01,101.151710429133
1976-12-01,101.306940055068
1977-01-01,101.490424754365
1977-02-01,101.678287354257
1977-03-01,101.843215404784
1977-04-01,101.952843279172
1977-05-01,102.000533363865
1977-06-01,101.98779417437
1977-07-01,101.92796704934
1977-08-01,101.844220645325
1977-09-01,101.765813455505
1977-10-01,101.710239039309
1977-11-01,101.67862092159
1977-12-01,101.67329449112
1978-01-01,101.697058095672
1978-02-01,101.743871155195
1978-03-01,101.843328635314
1978-04-01,101.982771899061
1978-05-01,102.125430442993
1978-06-01,102.232703914668
1978-07-01,102.281420131914
1978-08-01,102.26150512116
1978-09-01,102.173547101889
1978-10-01,102.023262969034
1978-11-01,101.830810328673
1978-12-01,101.631652313899
1979-01-01,101.45507410192
1979-02-01,101.283150858628
1979-03-01,101.084886349616
1979-04-01,100.846408655692
1979-05-01,100.586373845615
1979-06-01,100.315920218934
1979-07-01,100.047954172562
1979-08-01,99.7940913931815
1979-09-01,99.5450724940457
1979-10-01,99.2811541308485
1979-11-01,99.0001754212984
1979-12-01,98.7091608763542
1980-01-01,98.4097503772744
1980-02-01,98.0850520435735
1980-03-01,97.7754826187911
1980-04-01,97.6039807604927
1980-05-01,97.6628383117637
1980-06-01,97.9867444578064
1980-07-01,98.5036718012155
1980-08-01,99.0852897933567
1980-09-01,99.5941760963665
1980-10-01,99.9305643765618
1980-11-01,100.068170192505
1980-12-01,100.052008011237
1981-01-01,99.958020492314
1981-02-01,99.8380764737573
1981-03-01,99.7172745831968
1981-04-01,99.5644579273032
1981-05-01,99.3497881088838
1981-06-01,99.0882966051687
1981-07-01,98.8130171459816
1981-08-01,98.5275622824605
1981-09-01,98.2094477090179
1981-10-01,97.87053482134
1981-11-01,97.5319473332959
1981-12-01,97.2203426445295
1982-01-01,96.9293098369654
1982-02-01,96.6530248251324
